Date,1 Day Advertised SKU Conversions,1 Day Total Conversions,14 Day Advertised SKU Conversions,14 Day Total Conversions,30 Day Advertised SKU Conversions,30 Day Total Conversions,7 Day Advertised SKU Conversions,7 Day Total Conversions,1 Day Advertised SKU Units,1 Day Total Units,14 Day Advertised SKU Units,14 Day Total Units,30 Day Advertised SKU Units,30 Day Total Units,7 Day Advertised SKU Units,7 Day Total Units,1 Day Advertised SKU Sales (*),1 Day Total Sales (*),14 Day Advertised SKU Sales (*),14 Day Total Sales (*),30 Day Advertised SKU Sales (*),30 Day Total Sales (*),7 Day Advertised SKU Sales (*),7 Day Total Sales (*),Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273434202641670,Ad group - 1/27/2023 19:31:20,146420942892172,Seat belt grabber exact,PAUSED,0,0.0,29,Seat belt grabber
45875,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0.0,0.0,15.98,15.98,15.98,15.98,15.98,15.98,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,6,4.099999,140,
45875,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,4,1.56,54,Fireplace doors
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,6,2.44,146,Fireplace doors
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,2,1.5,133,
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242299024102191,Ad group - 10/17/2022 08:27:22,78925999257812,Heat N Glo Fireplace Doors,ENABLED,4,1.58,4,Fireplace doors
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,4,3.0,610,Smoke Extractor
45875,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,29.98,29.98,0.0,0.0,539309954473914,Xtractor - B0CGGP5FP5 - Broad+ STR [odor] (Daniyal) TOS100,282680986919776,SmokeXtractor - Broad+ STR [odor] (Shane) TOS100,PAUSED,4,4.7,700,Smoke Extractor
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,4,3.0,801,Fireplace Cleaner
45875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,6,2.68,180,Seat belt grabber
