Date,Customer Search Term,Keyword ID,Keyword Text,Match Type,Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name,1 Day Total Conversions,1 Day Advertised SKU Conversions
45886,brick fireplace paint kit,546892118977341,+brick +paint +kit,BROAD,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,2,1.35,58,Fireplace Painting Kit,0,0
45886,superior fireplace glass doors,141132262596818,+superior +fireplace +doors,BROAD,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,4,1.26,66,Fireplace doors,0,0
45886,fireplace paint,343722306482676,fireplace paint,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,4,2.55,903,Fireplace Painting Kit,0,0
45887,easy reach seat belt grabber handle,515924042900973,seat belt grabber,PHRASE,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.49,1,,0,0
45887,seat belt reacher,63181503640841,seat belt reacher,EXACT,273434202641670,Ad group - 1/27/2023 19:31:20,146420942892172,Seat belt grabber exact,PAUSED,1,0.5,1,Seat belt grabber,0,0
45887,rock fireplace cleaner,413906447222286,loose-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,1,Fireplace Cleaner,0,0
45887,thompson water sealer for bricks,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,1,,0,0
45887,seatbelt grabber handle for arthritis,522907048511175,+seatbelt +grabber,BROAD,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.77,1,,0,0
45887,"3/4"" nap roller 4 inch",558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.8,1,Paint roller cover,0,0
45887,heat n glo fireplace glass doors,108427778085912,+heat +glo +fireplace +glass +doors,BROAD,242299024102191,Ad group - 10/17/2022 08:27:22,78925999257812,Heat N Glo Fireplace Doors,ENABLED,1,0.5,2,Fireplace doors,1,0
45887,brick cleaner for interior fireplace,413906447222286,loose-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,2,Fireplace Cleaner,0,0
45887,epoxy roller 3 inch,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,3,Paint roller cover,0,0
45887,fireplace paint kit,558426619377658,fireplace painting kit,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,1,0.58,4,Fireplace Painting Kit,0,0
45887,paint roller covers 3 inch,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.66,5,Paint roller cover,1,1
45887,seatbelt grabber,522907048511175,+seatbelt +grabber,BROAD,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.78,7,,1,1
45887,hippie love smoke odor eliminator,520355802217211,smoke odor eliminator,BROAD,539309954473914,Xtractor - B0CGGP5FP5 - Broad+ STR [odor] (Daniyal) TOS100,282680986919776,SmokeXtractor - Broad+ STR [odor] (Shane) TOS100,PAUSED,1,0.9,12,Smoke Extractor,0,0
45887,3 inch rollers for painting,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,20,Paint roller cover,0,0
45887,b0dv75vfb5,545131882153018,substitutes,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,22,Fireplace Cleaner,0,0
45887,heatilator fireplace doors e36,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.32,37,Fireplace doors,0,0
45887,seat belt grabber for seniors,140246648303326,+seat +belt +grabber,BROAD,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,1,0.5,58,Seat belt grabber,0,0
45887,smoke eliminator,478439030578220,smoke eliminator,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,1,0.75,110,Smoke Extractor,1,1
45887,brick paint kit,546892118977341,+brick +paint +kit,BROAD,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,1,0.49,205,Fireplace Painting Kit,0,0
45887,smoke odor eliminator,371554855635513,smoke odor eliminator,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,1,0.75,435,Smoke Extractor,0,0
45887,fireplace makeover kits,508779402148054,fireplace makeover kits,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,2,1.14,38,Fireplace Painting Kit,0,0
45887,superior fireplace glass doors,141132262596818,+superior +fireplace +doors,BROAD,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,2,0.43,45,Fireplace doors,0,0
45887,heatilator fireplace doors,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,2,0.83,85,Fireplace doors,0,0
45887,fireplace paint,343722306482676,fireplace paint,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,3,2.029999,640,Fireplace Painting Kit,0,0
45888,replacement majestic fireplace doors,501322588417217,majestic fireplace doors,PHRASE,28821048686590,Ad group - 10/17/2022 08:15:58,137462756850400,Majetic Fireplace doors,ENABLED,1,0.45,1,Fireplace doors,0,0
45888,sealer brick,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,1,,0,0
45888,smoke eaters for cigarette smoke,304436756858019,smoke eaters for cigarette smoke,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,1,1.43,1,Smoke Extractor,0,0
45888,interior brick sealer,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.35,4,,0,0
45888,heatilator fireplace doors for existing fireplace,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.43,6,Fireplace doors,0,0
45888,seat belt reacher,63181503640841,seat belt reacher,EXACT,273434202641670,Ad group - 1/27/2023 19:31:20,146420942892172,Seat belt grabber exact,PAUSED,1,0.63,6,Seat belt grabber,0,0
45888,3 inch roller length,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,6,Paint roller cover,0,0
45888,heatilator fireplace doors hb36a1,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.22,11,Fireplace doors,0,0
45888,majestic fireplace glass doors,500580599516287,majestic fireplace glass doors,PHRASE,28821048686590,Ad group - 10/17/2022 08:15:58,137462756850400,Majetic Fireplace doors,ENABLED,1,0.45,14,Fireplace doors,0,0
45888,brick sealer interior,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,27,,1,1
45888,3 inch paint roller,317345726043118,3 inch roller,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,1,0.52,52,Paint roller cover,0,0
45888,smoke odor eliminator,282307856034099,smoke odor eliminator,EXACT,539309954473914,Xtractor - B0CGGP5FP5 - Broad+ STR [odor] (Daniyal) TOS100,282680986919776,SmokeXtractor - Broad+ STR [odor] (Shane) TOS100,PAUSED,1,1.23,65,Smoke Extractor,0,0
45888,fireplace brick cleaner,505086368739077,close-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,70,Fireplace Cleaner,0,0
45888,3 inch roller length,317345726043118,3 inch roller,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,2,0.94,3,Paint roller cover,0,0
45888,mini paint rollers 3 inch,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,2,0.76,7,Paint roller cover,0,0
45888,heatilator fireplace doors,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,2,0.58,64,Fireplace doors,0,0
45888,fireplace paint,343722306482676,fireplace paint,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,2,1.48,748,Fireplace Painting Kit,0,0
45888,seat belt grabber for seniors,515924042900973,seat belt grabber,PHRASE,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,4,2.32,101,,1,1
45889,matte brick sealer,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,1,,0,0
45889,brick cleaner indoor,545131882153018,substitutes,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.69,2,Fireplace Cleaner,0,0
45889,seat belt grabber,449855257284156,seat belt grabber,EXACT,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.78,2,,1,1
45889,heat n glo sts 42 fireplace glass doors,108427778085912,+heat +glo +fireplace +glass +doors,BROAD,242299024102191,Ad group - 10/17/2022 08:27:22,78925999257812,Heat N Glo Fireplace Doors,ENABLED,1,0.36,3,Fireplace doors,0,0
45889,temco fc42 fireplace door,229319272911725,+temco +fireplace +doors,BROAD,10128243813168,Ad group - 10/17/2022 07:50:33,67630955342793,Temco Fireplace door,ENABLED,1,0.45,3,Fireplace doors,0,0
45889,3 inch roller frame,444578015427974,3 inch roller frame,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,1,0.68,5,Paint roller cover,0,0
45889,b0001gogqw,545131882153018,substitutes,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,6,Fireplace Cleaner,1,1
